"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Dallas Cowboys (DAL)","5","2","3","4","0","0","0","1","22.0","22.0","92.8%"
"2","Tennessee Titans (TEN)","3","2","1","1","1","0","0","1","19.0","19.0","3.5%"
"3","Arizona Cardinals (ARI)","0","3","0","0","2","0","0","1","17.0","17.0","0.8%"
"4","Kansas City Chiefs (KC)","5","2","1","1","0","1","0","1","13.0","13.0","77.7%"
"5","Miami Dolphins (MIA)","2","3","0","0","0","0","0","1","12.0","12.0","69.8%"
"6","Baltimore Ravens (BAL)","5","0","2","3","0","0","0","1","12.0","12.0","86.5%"
"7","Chicago Bears (CHI)","1","3","1","0","0","0","0","1","10.0","10.0","33.6%"
"8","Las Vegas Raiders (LV)","1","1","0","0","1","0","0","1","10.0","10.0","24.0%"
"9","Green Bay Packers (GB)","1","1","0","0","1","0","0","1","9.0","9.0","26.3%"
"10","Carolina Panthers (CAR)","1","0","0","0","0","0","0","1","8.0","8.0","3.0%"
"11","Indianapolis Colts (IND)","2","0","1","0","0","0","0","1","8.0","8.0","26.1%"
"12","Seattle Seahawks (SEA)","3","1","1","2","0","0","0","1","7.0","7.0","22.9%"
"13","New York Jets (NYJ)","1","1","0","0","0","0","0","1","7.0","7.0","82.5%"
"14","New York Giants (NYG)","0","0","1","1","0","0","0","1","5.0","5.0","2.4%"
"15","New England Patriots (NE)","4","1","0","2","0","0","0","1","5.0","5.0","13.5%"
"16","Cleveland Browns (CLE)","3","0","1","1","0","0","0","1","5.0","5.0","94.2%"
"17","Cincinnati Bengals (CIN)","3","0","0","0","0","0","0","1","4.0","4.0","49.9%"
"18","Detroit Lions (DET)","2","0","1","1","0","0","0","1","4.0","4.0","39.7%"
"19","Los Angeles Chargers (LAC)","2","1","1","0","0","1","0","1","4.0","4.0","14.2%"
"20","Denver Broncos (DEN)","3","0","0","0","0","0","0","1","4.0","4.0","34.5%"
"21","Washington Commanders (WAS)","0","0","1","0","0","0","0","1","3.0","3.0","8.1%"
"22","San Francisco 49ers (SF)","1","1","1","0","0","0","0","1","1.0","1.0","97.9%"
"23","New Orleans Saints (NO)","2","0","0","1","0","0","0","1","1.0","1.0","63.9%"
"24","Jacksonville Jaguars (JAC)","1","0","0","0","0","0","0","1","1.0","1.0","49.9%"
"25","Tampa Bay Buccaneers (TB)","1","0","0","0","0","0","0","1","1.0","1.0","20.8%"
"26","Pittsburgh Steelers (PIT)","0","0","0","0","0","0","0","1","1.0","1.0","76.1%"
"27","Houston Texans (HOU)","1","0","0","0","0","0","0","1","0.0","0.0","31.6%"
"28","Atlanta Falcons (ATL)","3","0","0","0","0","0","0","1","-1.0","-1.0","16.6%"
""
""
