"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Green Bay Packers (GB)","2","3","1","1","1","0","1","1","23.0","23.0","26.3%"
"2","New Orleans Saints (NO)","6","1","0","2","1","0","0","1","18.0","18.0","63.9%"
"3","Seattle Seahawks (SEA)","4","2","1","1","0","0","0","1","17.0","17.0","22.9%"
"4","Jacksonville Jaguars (JAC)","2","0","1","1","1","0","0","1","17.0","17.0","49.9%"
"5","Detroit Lions (DET)","7","1","1","1","0","0","0","1","15.0","15.0","39.7%"
"6","New York Giants (NYG)","2","1","0","0","1","0","0","1","14.0","14.0","2.4%"
"7","Cleveland Browns (CLE)","3","3","0","0","0","0","0","1","13.0","13.0","94.2%"
"8","New England Patriots (NE)","2","2","0","0","1","0","0","1","12.0","12.0","13.5%"
"9","Dallas Cowboys (DAL)","2","1","1","2","0","0","0","1","10.0","10.0","92.8%"
"10","Philadelphia Eagles (PHI)","7","1","0","0","0","0","0","1","10.0","10.0","51.5%"
"11","Los Angeles Chargers (LAC)","3","0","1","1","0","0","0","1","9.0","9.0","14.2%"
"12","Tampa Bay Buccaneers (TB)","2","1","2","4","0","0","0","1","8.0","8.0","20.8%"
"13","Kansas City Chiefs (KC)","4","1","1","1","0","0","0","1","8.0","8.0","77.7%"
"14","Cincinnati Bengals (CIN)","0","0","0","0","0","0","0","1","7.0","7.0","49.9%"
"15","Pittsburgh Steelers (PIT)","1","1","0","0","0","0","0","1","7.0","7.0","76.1%"
"16","Tennessee Titans (TEN)","1","2","1","0","0","0","0","1","7.0","7.0","3.5%"
"17","Denver Broncos (DEN)","0","1","1","0","0","0","0","1","6.0","6.0","34.5%"
"18","Carolina Panthers (CAR)","3","0","1","1","0","0","0","1","6.0","6.0","3.0%"
"19","Houston Texans (HOU)","2","2","0","0","0","0","0","1","6.0","6.0","31.6%"
"20","Atlanta Falcons (ATL)","2","0","0","0","0","0","0","1","5.0","5.0","16.6%"
"21","Washington Commanders (WAS)","5","0","0","0","0","0","0","1","5.0","5.0","8.1%"
"22","Arizona Cardinals (ARI)","1","0","1","0","0","0","0","1","4.0","4.0","0.8%"
"23","New York Jets (NYJ)","4","0","0","0","0","0","0","1","4.0","4.0","82.5%"
"24","Buffalo Bills (BUF)","0","0","0","0","0","0","0","1","4.0","4.0","62.0%"
"25","Miami Dolphins (MIA)","3","0","0","0","0","0","0","1","4.0","4.0","69.8%"
"26","San Francisco 49ers (SF)","0","2","0","0","0","0","0","1","3.0","3.0","97.9%"
"27","Baltimore Ravens (BAL)","2","0","0","0","0","0","0","1","3.0","3.0","86.5%"
"28","Indianapolis Colts (IND)","0","0","1","1","0","0","0","1","1.0","1.0","26.1%"
"29","Minnesota Vikings (MIN)","1","0","0","0","0","0","0","1","-1.0","-1.0","11.0%"
"30","Los Angeles Rams (LAR)","0","0","0","0","0","0","0","1","-1.0","-1.0","21.2%"
"31","Las Vegas Raiders (LV)","0","1","0","0","0","0","0","1","-2.0","-2.0","24.0%"
"32","Chicago Bears (CHI)","2","0","0","0","0","0","0","1","-2.0","-2.0","33.6%"
""
""
