"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Cleveland Browns (CLE)","0","2","2","1","2","0","1","1","27.0","27.0","94.2%"
"2","Dallas Cowboys (DAL)","3","3","2","2","1","0","0","1","20.0","20.0","92.8%"
"3","San Francisco 49ers (SF)","3","3","1","1","1","0","0","1","18.0","18.0","97.9%"
"4","Los Angeles Chargers (LAC)","0","1","1","1","1","0","0","1","12.0","12.0","14.2%"
"5","Denver Broncos (DEN)","4","2","0","1","0","0","0","1","12.0","12.0","34.5%"
"6","Philadelphia Eagles (PHI)","6","0","0","0","0","0","0","1","10.0","10.0","51.5%"
"7","Green Bay Packers (GB)","0","2","1","1","0","0","0","1","9.0","9.0","26.3%"
"8","Los Angeles Rams (LAR)","4","1","1","1","0","0","0","1","8.0","8.0","21.2%"
"9","Seattle Seahawks (SEA)","4","2","0","1","0","0","0","1","8.0","8.0","22.9%"
"10","Las Vegas Raiders (LV)","5","0","1","2","0","0","0","1","8.0","8.0","24.0%"
"11","Houston Texans (HOU)","1","1","1","1","0","1","0","1","8.0","8.0","31.6%"
"12","New York Giants (NYG)","5","0","1","3","0","0","0","1","8.0","8.0","2.4%"
"13","Washington Commanders (WAS)","4","0","1","1","0","0","0","1","7.0","7.0","8.1%"
"14","New Orleans Saints (NO)","1","1","1","1","0","0","0","1","6.0","6.0","63.9%"
"15","Miami Dolphins (MIA)","4","1","0","1","0","0","0","1","6.0","6.0","69.8%"
"16","Baltimore Ravens (BAL)","2","0","0","0","0","0","0","1","6.0","6.0","86.5%"
"17","Minnesota Vikings (MIN)","1","2","0","0","0","0","0","1","5.0","5.0","11.0%"
"18","Detroit Lions (DET)","2","0","1","1","0","0","0","1","5.0","5.0","39.7%"
"19","Buffalo Bills (BUF)","1","0","0","1","0","0","0","1","5.0","5.0","62.0%"
"20","Cincinnati Bengals (CIN)","2","0","1","1","0","0","0","1","4.0","4.0","49.9%"
"21","Pittsburgh Steelers (PIT)","1","1","0","0","0","0","0","1","4.0","4.0","76.1%"
"22","New England Patriots (NE)","2","0","1","1","0","0","0","1","4.0","4.0","13.5%"
"23","Tampa Bay Buccaneers (TB)","2","0","0","0","0","0","0","1","3.0","3.0","20.8%"
"24","New York Jets (NYJ)","2","0","0","0","0","0","0","1","2.0","2.0","82.5%"
"25","Kansas City Chiefs (KC)","1","0","0","0","0","0","0","1","1.0","1.0","77.7%"
"26","Atlanta Falcons (ATL)","0","0","0","0","0","0","0","1","1.0","1.0","16.6%"
"27","Indianapolis Colts (IND)","1","1","0","0","0","0","0","1","1.0","1.0","26.1%"
"28","Chicago Bears (CHI)","0","0","0","0","0","0","0","1","-1.0","-1.0","33.6%"
"29","Jacksonville Jaguars (JAC)","2","0","0","0","0","0","0","1","-2.0","-2.0","49.9%"
"30","Tennessee Titans (TEN)","2","0","0","1","0","0","0","1","-2.0","-2.0","3.5%"
""
""
