"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Tampa Bay Buccaneers (TB)","6","3","2","3","1","0","0","1","26.0","26.0","20.8%"
"2","Jacksonville Jaguars (JAC)","5","3","0","1","0","0","0","1","21.0","21.0","49.9%"
"3","Buffalo Bills (BUF)","2","2","2","0","1","0","0","1","20.0","20.0","62.0%"
"4","Atlanta Falcons (ATL)","1","2","1","1","0","1","1","1","16.0","16.0","16.6%"
"5","San Francisco 49ers (SF)","2","2","1","0","0","0","0","1","15.0","15.0","97.9%"
"6","Philadelphia Eagles (PHI)","2","3","0","1","0","0","0","1","12.0","12.0","51.5%"
"7","Kansas City Chiefs (KC)","2","1","0","0","1","0","0","1","10.0","10.0","77.7%"
"8","Green Bay Packers (GB)","3","1","0","0","0","0","0","1","9.0","9.0","26.3%"
"9","Seattle Seahawks (SEA)","1","0","0","1","0","0","1","1","9.0","9.0","22.9%"
"10","Arizona Cardinals (ARI)","1","0","1","2","1","0","0","1","9.0","9.0","0.8%"
"11","Detroit Lions (DET)","5","1","0","1","0","1","0","1","9.0","9.0","39.7%"
"12","Los Angeles Rams (LAR)","3","2","1","1","0","0","0","1","9.0","9.0","21.2%"
"13","New England Patriots (NE)","3","1","1","0","0","0","0","1","8.0","8.0","13.5%"
"14","New York Giants (NYG)","2","0","2","2","0","0","0","1","7.0","7.0","2.4%"
"15","Dallas Cowboys (DAL)","6","0","0","1","0","0","0","1","7.0","7.0","92.8%"
"16","Baltimore Ravens (BAL)","1","2","0","0","0","0","1","1","7.0","7.0","86.5%"
"17","Denver Broncos (DEN)","3","0","0","2","0","0","0","1","7.0","7.0","34.5%"
"18","Minnesota Vikings (MIN)","3","1","0","0","0","0","0","1","7.0","7.0","11.0%"
"19","Houston Texans (HOU)","3","1","0","0","0","0","0","1","6.0","6.0","31.6%"
"20","Chicago Bears (CHI)","3","0","1","0","0","0","0","1","5.0","5.0","33.6%"
"21","Cincinnati Bengals (CIN)","1","0","1","1","0","0","0","1","4.0","4.0","49.9%"
"22","Carolina Panthers (CAR)","3","0","0","0","0","0","0","1","4.0","4.0","3.0%"
"23","New Orleans Saints (NO)","1","0","1","0","0","0","0","1","4.0","4.0","63.9%"
"24","Las Vegas Raiders (LV)","1","1","0","0","0","0","0","1","3.0","3.0","24.0%"
"25","Pittsburgh Steelers (PIT)","0","1","0","0","0","0","0","1","3.0","3.0","76.1%"
"26","Cleveland Browns (CLE)","2","0","1","2","0","0","0","1","3.0","3.0","94.2%"
"27","New York Jets (NYJ)","1","1","0","0","0","0","0","1","2.0","2.0","82.5%"
"28","Los Angeles Chargers (LAC)","1","0","0","0","0","0","0","1","1.0","1.0","14.2%"
"29","Indianapolis Colts (IND)","0","0","0","0","0","0","0","1","0.0","0.0","26.1%"
"30","Washington Commanders (WAS)","3","0","0","0","0","0","0","1","-1.0","-1.0","8.1%"
"31","Tennessee Titans (TEN)","1","0","0","0","0","0","0","1","-3.0","-3.0","3.5%"
"32","Miami Dolphins (MIA)","0","0","0","0","0","0","0","1","-4.0","-4.0","69.8%"
""
""
