"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Pittsburgh Steelers (PIT)","7","4","1","2","1","0","0","1","26.0","26.0","76.1%"
"2","Miami Dolphins (MIA)","2","1","2","2","1","0","0","1","18.0","18.0","69.8%"
"3","Buffalo Bills (BUF)","7","3","0","0","0","0","0","1","17.0","17.0","62.0%"
"4","Los Angeles Chargers (LAC)","6","3","0","3","0","0","0","1","13.0","13.0","14.2%"
"5","Tampa Bay Buccaneers (TB)","4","1","0","0","0","0","0","1","13.0","13.0","20.8%"
"6","Minnesota Vikings (MIN)","4","1","1","1","0","0","0","1","12.0","12.0","11.0%"
"7","Baltimore Ravens (BAL)","3","1","1","2","0","0","0","1","11.0","11.0","86.5%"
"8","Chicago Bears (CHI)","2","1","1","1","0","0","0","1","10.0","10.0","33.6%"
"9","Los Angeles Rams (LAR)","2","2","2","2","0","0","0","1","9.0","9.0","21.2%"
"10","Tennessee Titans (TEN)","5","1","1","2","0","0","0","1","9.0","9.0","3.5%"
"11","Seattle Seahawks (SEA)","2","0","2","2","0","0","0","1","7.0","7.0","22.9%"
"12","Houston Texans (HOU)","2","1","1","1","0","0","0","1","7.0","7.0","31.6%"
"13","Indianapolis Colts (IND)","3","0","1","1","0","0","0","1","6.0","6.0","26.1%"
"14","Jacksonville Jaguars (JAC)","1","2","1","1","0","0","0","1","6.0","6.0","49.9%"
"15","Atlanta Falcons (ATL)","4","0","1","1","0","0","0","1","6.0","6.0","16.6%"
"16","Cleveland Browns (CLE)","4","1","0","1","0","0","0","1","6.0","6.0","94.2%"
"17","New Orleans Saints (NO)","0","0","2","2","0","0","0","1","6.0","6.0","63.9%"
"18","Denver Broncos (DEN)","2","0","1","3","0","0","0","1","5.0","5.0","34.5%"
"19","Philadelphia Eagles (PHI)","1","1","0","0","1","0","0","1","5.0","5.0","51.5%"
"20","Dallas Cowboys (DAL)","2","1","0","0","0","0","0","1","5.0","5.0","92.8%"
"21","San Francisco 49ers (SF)","2","1","0","0","0","0","0","1","5.0","5.0","97.9%"
"22","Washington Commanders (WAS)","2","1","0","1","0","0","0","1","4.0","4.0","8.1%"
"23","New York Jets (NYJ)","2","1","0","1","0","0","0","1","4.0","4.0","82.5%"
"24","New York Giants (NYG)","1","0","1","0","0","0","0","1","4.0","4.0","2.4%"
"25","New England Patriots (NE)","3","0","0","2","0","0","0","1","4.0","4.0","13.5%"
"26","Kansas City Chiefs (KC)","3","0","0","1","0","0","0","1","3.0","3.0","77.7%"
"27","Cincinnati Bengals (CIN)","1","0","0","1","0","0","0","1","2.0","2.0","49.9%"
"28","Green Bay Packers (GB)","1","0","0","0","0","0","0","1","1.0","1.0","26.3%"
"29","Carolina Panthers (CAR)","1","0","0","0","0","0","0","1","1.0","1.0","3.0%"
"30","Las Vegas Raiders (LV)","0","0","0","1","0","0","0","1","0.0","0.0","24.0%"
"31","Detroit Lions (DET)","1","0","0","0","0","0","0","1","0.0","0.0","39.7%"
"32","Arizona Cardinals (ARI)","0","0","1","3","0","0","0","1","-2.0","-2.0","0.8%"
""
""
