"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","New England Patriots (NE)","6","1","1","1","1","0","0","1","20.0","20.0","13.5%"
"2","Kansas City Chiefs (KC)","6","2","0","0","1","0","0","1","15.0","15.0","77.7%"
"3","Buffalo Bills (BUF)","4","0","2","3","0","0","0","1","12.0","12.0","62.0%"
"4","Jacksonville Jaguars (JAC)","4","1","3","2","0","0","0","1","12.0","12.0","49.9%"
"5","Baltimore Ravens (BAL)","2","3","0","0","0","0","0","1","11.0","11.0","86.5%"
"6","Miami Dolphins (MIA)","4","0","0","0","0","0","0","1","10.0","10.0","69.8%"
"7","San Francisco 49ers (SF)","0","2","1","1","0","0","0","1","10.0","10.0","97.9%"
"8","Philadelphia Eagles (PHI)","7","0","1","1","0","0","0","1","9.0","9.0","51.5%"
"9","New York Jets (NYJ)","3","0","0","0","0","1","0","1","8.0","8.0","82.5%"
"10","Detroit Lions (DET)","4","0","2","2","0","0","0","1","8.0","8.0","39.7%"
"11","Cincinnati Bengals (CIN)","2","1","0","0","0","0","0","1","8.0","8.0","49.9%"
"12","Denver Broncos (DEN)","2","3","0","0","0","0","0","1","7.0","7.0","34.5%"
"13","Houston Texans (HOU)","1","2","1","1","0","0","0","1","7.0","7.0","31.6%"
"14","Carolina Panthers (CAR)","3","2","0","0","0","0","0","1","7.0","7.0","3.0%"
"15","Las Vegas Raiders (LV)","4","0","1","1","0","0","0","1","7.0","7.0","24.0%"
"16","Los Angeles Chargers (LAC)","2","0","0","1","0","0","0","1","6.0","6.0","14.2%"
"17","Los Angeles Rams (LAR)","0","2","0","0","0","0","0","1","5.0","5.0","21.2%"
"18","Dallas Cowboys (DAL)","0","1","1","1","0","0","0","1","4.0","4.0","92.8%"
"19","Cleveland Browns (CLE)","2","1","0","0","0","0","0","1","4.0","4.0","94.2%"
"20","Pittsburgh Steelers (PIT)","2","0","0","1","0","0","0","1","3.0","3.0","76.1%"
"21","Arizona Cardinals (ARI)","1","1","0","0","0","0","0","1","3.0","3.0","0.8%"
"22","New York Giants (NYG)","4","0","0","0","0","0","0","1","2.0","2.0","2.4%"
"23","Seattle Seahawks (SEA)","2","0","0","0","0","0","0","1","1.0","1.0","22.9%"
"24","Minnesota Vikings (MIN)","0","0","0","0","0","0","0","1","-1.0","-1.0","11.0%"
"25","Tampa Bay Buccaneers (TB)","0","0","1","1","0","0","0","1","-2.0","-2.0","20.8%"
"26","Tennessee Titans (TEN)","0","0","0","0","0","0","0","1","-4.0","-4.0","3.5%"
""
""
