"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","New Orleans Saints (NO)","4","1","0","0","0","0","0","1","16.0","16.0","63.9%"
"2","Philadelphia Eagles (PHI)","6","1","1","2","0","0","0","1","14.0","14.0","51.5%"
"3","Seattle Seahawks (SEA)","5","0","2","1","0","0","0","1","13.0","13.0","22.9%"
"4","Cleveland Browns (CLE)","5","1","1","1","0","0","0","1","13.0","13.0","94.2%"
"5","Dallas Cowboys (DAL)","4","0","1","1","1","0","0","1","11.0","11.0","92.8%"
"6","Minnesota Vikings (MIN)","4","2","1","0","0","0","0","1","10.0","10.0","11.0%"
"7","Tennessee Titans (TEN)","3","1","0","0","0","0","0","1","9.0","9.0","3.5%"
"8","New England Patriots (NE)","2","3","0","0","0","0","0","1","9.0","9.0","13.5%"
"9","Atlanta Falcons (ATL)","1","1","0","0","1","0","0","1","8.0","8.0","16.6%"
"10","New York Jets (NYJ)","6","1","0","1","0","0","0","1","8.0","8.0","82.5%"
"11","Houston Texans (HOU)","3","1","1","0","0","0","0","1","8.0","8.0","31.6%"
"12","Washington Commanders (WAS)","2","0","2","1","0","0","0","1","7.0","7.0","8.1%"
"13","Cincinnati Bengals (CIN)","2","1","1","1","0","0","0","1","7.0","7.0","49.9%"
"14","Denver Broncos (DEN)","2","2","0","1","0","0","0","1","7.0","7.0","34.5%"
"15","Arizona Cardinals (ARI)","3","0","1","1","0","0","0","1","6.0","6.0","0.8%"
"16","Green Bay Packers (GB)","2","2","0","1","0","0","0","1","6.0","6.0","26.3%"
"17","Carolina Panthers (CAR)","2","2","0","1","0","0","0","1","5.0","5.0","3.0%"
"18","Buffalo Bills (BUF)","2","1","0","0","0","0","0","1","5.0","5.0","62.0%"
"19","Indianapolis Colts (IND)","2","1","0","0","0","0","0","1","5.0","5.0","26.1%"
"20","New York Giants (NYG)","3","0","1","1","0","0","0","1","5.0","5.0","2.4%"
"21","Baltimore Ravens (BAL)","3","0","1","0","0","0","0","1","5.0","5.0","86.5%"
"22","Tampa Bay Buccaneers (TB)","3","0","0","0","0","0","0","1","5.0","5.0","20.8%"
"23","Jacksonville Jaguars (JAC)","3","1","0","0","0","0","0","1","5.0","5.0","49.9%"
"24","Detroit Lions (DET)","2","0","1","1","0","0","0","1","3.0","3.0","39.7%"
"25","San Francisco 49ers (SF)","2","0","0","0","0","0","0","1","3.0","3.0","97.9%"
"26","Los Angeles Rams (LAR)","3","0","0","1","0","0","0","1","2.0","2.0","21.2%"
"27","Miami Dolphins (MIA)","1","0","0","0","0","0","0","1","1.0","1.0","69.8%"
"28","Las Vegas Raiders (LV)","0","0","0","0","0","0","0","1","0.0","0.0","24.0%"
"29","Pittsburgh Steelers (PIT)","3","0","0","0","0","0","0","1","-1.0","-1.0","76.1%"
"30","Chicago Bears (CHI)","1","1","0","0","0","0","0","1","-1.0","-1.0","33.6%"
""
""
