"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Minnesota Vikings (MIN)","2","2","2","1","1","0","0","1","15.0","15.0","11.0%"
"2","Washington Commanders (WAS)","1","1","3","2","1","0","0","1","15.0","15.0","8.1%"
"3","Tennessee Titans (TEN)","6","1","0","1","0","0","0","1","12.0","12.0","3.5%"
"4","Detroit Lions (DET)","3","1","0","1","1","0","0","1","10.0","10.0","39.7%"
"5","Pittsburgh Steelers (PIT)","2","2","0","1","0","0","0","1","10.0","10.0","76.1%"
"6","Carolina Panthers (CAR)","5","1","0","0","0","0","0","1","10.0","10.0","3.0%"
"7","New York Giants (NYG)","4","1","1","1","0","0","0","1","9.0","9.0","2.4%"
"8","Arizona Cardinals (ARI)","3","1","1","1","0","0","0","1","8.0","8.0","0.8%"
"9","Buffalo Bills (BUF)","4","2","0","1","0","0","0","1","8.0","8.0","62.0%"
"10","New Orleans Saints (NO)","6","0","0","1","0","0","0","1","7.0","7.0","63.9%"
"11","Philadelphia Eagles (PHI)","3","1","1","1","0","0","0","1","7.0","7.0","51.5%"
"12","Miami Dolphins (MIA)","3","0","1","1","0","0","0","1","6.0","6.0","69.8%"
"13","Tampa Bay Buccaneers (TB)","3","0","1","1","0","0","0","1","6.0","6.0","20.8%"
"14","San Francisco 49ers (SF)","3","1","0","1","0","0","0","1","6.0","6.0","97.9%"
"15","Jacksonville Jaguars (JAC)","0","1","2","1","0","0","0","1","6.0","6.0","49.9%"
"16","Kansas City Chiefs (KC)","5","0","0","0","0","0","0","1","6.0","6.0","77.7%"
"17","Dallas Cowboys (DAL)","2","0","2","2","0","0","0","1","5.0","5.0","92.8%"
"18","Green Bay Packers (GB)","2","2","0","0","0","0","0","1","5.0","5.0","26.3%"
"19","Denver Broncos (DEN)","1","0","1","1","0","0","0","1","4.0","4.0","34.5%"
"20","Seattle Seahawks (SEA)","0","2","0","0","0","0","0","1","4.0","4.0","22.9%"
"21","Las Vegas Raiders (LV)","1","0","1","2","0","0","0","1","3.0","3.0","24.0%"
"22","Indianapolis Colts (IND)","2","0","0","0","0","0","0","1","3.0","3.0","26.1%"
"23","Houston Texans (HOU)","3","0","0","0","0","0","0","1","3.0","3.0","31.6%"
"24","Los Angeles Chargers (LAC)","1","0","1","1","0","0","0","1","3.0","3.0","14.2%"
"25","Los Angeles Rams (LAR)","2","0","0","1","0","0","0","1","2.0","2.0","21.2%"
"26","Chicago Bears (CHI)","2","0","0","0","0","0","0","1","2.0","2.0","33.6%"
"27","Atlanta Falcons (ATL)","1","0","0","0","0","0","0","1","1.0","1.0","16.6%"
"28","Cleveland Browns (CLE)","1","0","0","0","0","0","0","1","-3.0","-3.0","94.2%"
""
""
