"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","San Francisco 49ers (SF)","7","1","1","1","1","0","0","1","21.0","21.0","97.9%"
"2","New York Giants (NYG)","6","0","3","3","0","0","0","1","16.0","16.0","2.4%"
"3","Philadelphia Eagles (PHI)","4","1","4","3","0","0","0","1","15.0","15.0","51.5%"
"4","Arizona Cardinals (ARI)","2","2","1","0","0","0","0","1","12.0","12.0","0.8%"
"5","New York Jets (NYJ)","3","4","0","0","0","0","0","1","12.0","12.0","82.5%"
"6","New England Patriots (NE)","1","1","1","1","1","0","0","1","11.0","11.0","13.5%"
"7","Las Vegas Raiders (LV)","3","0","1","1","1","0","0","1","11.0","11.0","24.0%"
"8","Tennessee Titans (TEN)","3","1","2","3","0","0","0","1","10.0","10.0","3.5%"
"9","Dallas Cowboys (DAL)","2","2","0","1","0","0","0","1","10.0","10.0","92.8%"
"10","Jacksonville Jaguars (JAC)","2","1","0","0","1","0","0","1","9.0","9.0","49.9%"
"11","Carolina Panthers (CAR)","1","1","0","1","1","0","0","1","9.0","9.0","3.0%"
"12","Cincinnati Bengals (CIN)","1","2","0","0","0","0","0","1","8.0","8.0","49.9%"
"13","Los Angeles Chargers (LAC)","4","2","0","1","0","0","0","1","8.0","8.0","14.2%"
"14","Seattle Seahawks (SEA)","1","1","1","1","1","0","0","1","7.0","7.0","22.9%"
"15","Buffalo Bills (BUF)","2","2","0","0","0","0","0","1","7.0","7.0","62.0%"
"16","Green Bay Packers (GB)","4","0","1","1","0","0","0","1","7.0","7.0","26.3%"
"17","Chicago Bears (CHI)","1","1","1","1","0","0","0","1","6.0","6.0","33.6%"
"18","Atlanta Falcons (ATL)","1","1","1","1","0","0","0","1","6.0","6.0","16.6%"
"19","Minnesota Vikings (MIN)","2","0","2","1","0","0","0","1","6.0","6.0","11.0%"
"20","Pittsburgh Steelers (PIT)","1","2","0","0","0","0","0","1","5.0","5.0","76.1%"
"21","Baltimore Ravens (BAL)","1","1","1","1","0","0","0","1","5.0","5.0","86.5%"
"22","Kansas City Chiefs (KC)","1","0","2","1","0","0","0","1","4.0","4.0","77.7%"
"23","New Orleans Saints (NO)","3","1","0","0","0","0","0","1","4.0","4.0","63.9%"
"24","Washington Commanders (WAS)","1","0","0","0","0","0","0","1","3.0","3.0","8.1%"
"25","Cleveland Browns (CLE)","1","1","0","0","0","0","0","1","3.0","3.0","94.2%"
"26","Indianapolis Colts (IND)","3","0","0","0","0","0","0","1","3.0","3.0","26.1%"
"27","Houston Texans (HOU)","1","0","1","0","0","0","0","1","2.0","2.0","31.6%"
"28","Denver Broncos (DEN)","2","0","0","0","0","0","0","1","2.0","2.0","34.5%"
"29","Los Angeles Rams (LAR)","0","0","0","0","0","0","0","1","1.0","1.0","21.2%"
"30","Tampa Bay Buccaneers (TB)","3","1","0","0","0","0","0","1","1.0","1.0","20.8%"
"31","Miami Dolphins (MIA)","1","0","0","0","0","0","0","1","1.0","1.0","69.8%"
"32","Detroit Lions (DET)","0","0","1","0","0","0","0","1","-2.0","-2.0","39.7%"
""
""
