"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Indianapolis Colts (IND)","7","2","1","1","1","0","1","1","23.0","23.0","26.1%"
"2","New York Giants (NYG)","3","0","2","4","1","0","0","1","17.0","17.0","2.4%"
"3","Cleveland Browns (CLE)","3","1","1","1","0","0","0","1","16.0","16.0","94.2%"
"4","Detroit Lions (DET)","4","1","0","0","0","0","1","1","13.0","13.0","39.7%"
"5","Jacksonville Jaguars (JAC)","3","2","0","0","1","0","0","1","12.0","12.0","49.9%"
"6","New England Patriots (NE)","3","1","0","2","1","0","0","1","11.0","11.0","13.5%"
"7","Las Vegas Raiders (LV)","0","0","1","1","1","0","0","1","11.0","11.0","24.0%"
"8","Green Bay Packers (GB)","5","1","0","1","0","0","0","1","11.0","11.0","26.3%"
"9","Arizona Cardinals (ARI)","7","1","1","1","0","0","0","1","11.0","11.0","0.8%"
"10","Denver Broncos (DEN)","3","3","0","0","0","0","0","1","10.0","10.0","34.5%"
"11","Cincinnati Bengals (CIN)","1","2","2","1","0","0","0","1","9.0","9.0","49.9%"
"12","Philadelphia Eagles (PHI)","6","0","1","3","0","0","0","1","9.0","9.0","51.5%"
"13","San Francisco 49ers (SF)","3","0","1","2","0","0","0","1","9.0","9.0","97.9%"
"14","Tennessee Titans (TEN)","3","2","0","0","0","0","0","1","8.0","8.0","3.5%"
"15","Los Angeles Chargers (LAC)","4","1","0","1","0","0","0","1","7.0","7.0","14.2%"
"16","Chicago Bears (CHI)","1","2","1","1","0","0","0","1","7.0","7.0","33.6%"
"17","Los Angeles Rams (LAR)","3","1","1","1","0","0","0","1","7.0","7.0","21.2%"
"18","Baltimore Ravens (BAL)","3","0","0","0","0","0","0","1","7.0","7.0","86.5%"
"19","New Orleans Saints (NO)","4","0","1","1","0","0","0","1","7.0","7.0","63.9%"
"20","Dallas Cowboys (DAL)","1","1","2","2","0","0","0","1","6.0","6.0","92.8%"
"21","Houston Texans (HOU)","2","0","2","2","0","0","0","1","5.0","5.0","31.6%"
"22","Minnesota Vikings (MIN)","3","0","1","2","0","0","0","1","5.0","5.0","11.0%"
"23","Pittsburgh Steelers (PIT)","4","0","0","1","0","0","0","1","5.0","5.0","76.1%"
"24","Atlanta Falcons (ATL)","2","0","1","1","0","0","0","1","4.0","4.0","16.6%"
"25","Tampa Bay Buccaneers (TB)","2","1","0","1","0","0","0","1","3.0","3.0","20.8%"
"26","Miami Dolphins (MIA)","2","0","1","2","0","0","0","1","3.0","3.0","69.8%"
"27","Kansas City Chiefs (KC)","1","0","1","1","0","0","0","1","3.0","3.0","77.7%"
"28","Seattle Seahawks (SEA)","1","0","0","0","0","0","0","1","1.0","1.0","22.9%"
"29","New York Jets (NYJ)","0","0","0","0","0","0","0","1","1.0","1.0","82.5%"
"30","Carolina Panthers (CAR)","1","0","0","0","0","0","0","1","1.0","1.0","3.0%"
"31","Buffalo Bills (BUF)","2","0","0","1","0","0","0","1","1.0","1.0","62.0%"
"32","Washington Commanders (WAS)","0","0","0","1","0","0","0","1","1.0","1.0","8.1%"
""
""
