"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Denver Broncos (DEN)","4","1","2","1","0","1","0","1","16.0","16.0","34.5%"
"2","Carolina Panthers (CAR)","1","2","1","1","1","0","0","1","16.0","16.0","3.0%"
"3","Cincinnati Bengals (CIN)","4","2","2","3","0","0","0","1","16.0","16.0","49.9%"
"4","Philadelphia Eagles (PHI)","9","0","1","2","0","0","0","1","15.0","15.0","51.5%"
"5","Green Bay Packers (GB)","3","0","2","2","0","0","0","1","11.0","11.0","26.3%"
"6","Baltimore Ravens (BAL)","3","3","1","2","0","0","0","1","11.0","11.0","86.5%"
"7","Cleveland Browns (CLE)","1","0","1","1","1","0","0","1","10.0","10.0","94.2%"
"8","Dallas Cowboys (DAL)","5","1","0","0","0","0","0","1","10.0","10.0","92.8%"
"9","Jacksonville Jaguars (JAC)","1","1","1","1","0","0","0","1","9.0","9.0","49.9%"
"10","Houston Texans (HOU)","5","2","0","0","0","0","0","1","9.0","9.0","31.6%"
"11","Miami Dolphins (MIA)","4","0","1","2","0","0","0","1","9.0","9.0","69.8%"
"12","Kansas City Chiefs (KC)","5","0","1","2","0","0","0","1","8.0","8.0","77.7%"
"13","San Francisco 49ers (SF)","4","0","0","2","0","0","0","1","8.0","8.0","97.9%"
"14","Seattle Seahawks (SEA)","3","1","1","1","0","0","0","1","7.0","7.0","22.9%"
"15","Los Angeles Rams (LAR)","2","0","0","0","0","0","0","1","6.0","6.0","21.2%"
"16","Chicago Bears (CHI)","1","2","0","2","0","0","0","1","6.0","6.0","33.6%"
"17","Indianapolis Colts (IND)","1","1","1","0","0","0","0","1","6.0","6.0","26.1%"
"18","Tampa Bay Buccaneers (TB)","1","1","1","2","0","0","0","1","6.0","6.0","20.8%"
"19","Washington Commanders (WAS)","3","0","0","0","0","1","0","1","5.0","5.0","8.1%"
"20","New Orleans Saints (NO)","3","0","0","0","0","0","0","1","4.0","4.0","63.9%"
"21","New York Jets (NYJ)","2","0","1","1","0","0","0","1","4.0","4.0","82.5%"
"22","New England Patriots (NE)","4","1","1","1","0","0","0","1","4.0","4.0","13.5%"
"23","Atlanta Falcons (ATL)","2","1","0","0","0","0","0","1","4.0","4.0","16.6%"
"24","Buffalo Bills (BUF)","2","0","0","0","0","1","0","1","4.0","4.0","62.0%"
"25","Arizona Cardinals (ARI)","1","0","1","1","0","0","0","1","4.0","4.0","0.8%"
"26","Las Vegas Raiders (LV)","1","1","0","1","0","0","0","1","3.0","3.0","24.0%"
"27","Tennessee Titans (TEN)","1","1","0","1","0","0","0","1","3.0","3.0","3.5%"
"28","Pittsburgh Steelers (PIT)","2","0","0","0","0","0","0","1","2.0","2.0","76.1%"
"29","Minnesota Vikings (MIN)","0","1","0","0","0","0","0","1","2.0","2.0","11.0%"
"30","Detroit Lions (DET)","1","0","1","0","0","0","0","1","2.0","2.0","39.7%"
"31","New York Giants (NYG)","0","0","0","0","0","0","0","1","0.0","0.0","2.4%"
"32","Los Angeles Chargers (LAC)","0","0","0","0","0","0","0","1","-4.0","-4.0","14.2%"
""
""
