"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Cincinnati Bengals (CIN)","4","2","2","2","1","0","0","1","19.0","19.0","49.9%"
"2","Buffalo Bills (BUF)","1","3","0","1","0","0","2","1","19.0","19.0","62.0%"
"3","Washington Commanders (WAS)","1","1","1","0","1","0","0","1","18.0","18.0","8.1%"
"4","San Francisco 49ers (SF)","3","3","1","1","0","0","0","1","15.0","15.0","97.9%"
"5","Carolina Panthers (CAR)","1","0","1","1","0","0","0","1","15.0","15.0","3.0%"
"6","Jacksonville Jaguars (JAC)","4","1","1","2","1","0","0","1","15.0","15.0","49.9%"
"7","Houston Texans (HOU)","2","2","1","0","1","0","0","1","14.0","14.0","31.6%"
"8","Kansas City Chiefs (KC)","6","1","1","2","0","0","0","1","14.0","14.0","77.7%"
"9","New Orleans Saints (NO)","2","2","0","1","0","0","0","1","13.0","13.0","63.9%"
"10","Indianapolis Colts (IND)","1","2","1","2","1","0","0","1","13.0","13.0","26.1%"
"11","Pittsburgh Steelers (PIT)","7","2","0","0","0","0","0","1","12.0","12.0","76.1%"
"12","Minnesota Vikings (MIN)","1","2","0","0","0","0","0","1","9.0","9.0","11.0%"
"13","Miami Dolphins (MIA)","0","0","0","2","0","1","0","1","9.0","9.0","69.8%"
"14","Los Angeles Rams (LAR)","3","2","0","0","0","0","0","1","8.0","8.0","21.2%"
"15","Seattle Seahawks (SEA)","5","1","0","0","0","0","0","1","8.0","8.0","22.9%"
"16","Detroit Lions (DET)","2","1","1","1","0","0","0","1","7.0","7.0","39.7%"
"17","Dallas Cowboys (DAL)","3","1","0","0","0","0","0","1","6.0","6.0","92.8%"
"18","New York Jets (NYJ)","1","0","0","0","0","0","0","1","5.0","5.0","82.5%"
"19","New York Giants (NYG)","3","1","0","0","0","0","0","1","5.0","5.0","2.4%"
"20","Los Angeles Chargers (LAC)","2","1","1","0","0","0","0","1","5.0","5.0","14.2%"
"21","Baltimore Ravens (BAL)","2","0","1","1","0","0","0","1","4.0","4.0","86.5%"
"22","Denver Broncos (DEN)","1","0","2","2","0","0","0","1","4.0","4.0","34.5%"
"23","New England Patriots (NE)","2","1","2","1","0","0","0","1","4.0","4.0","13.5%"
"24","Tennessee Titans (TEN)","1","0","1","0","0","0","0","1","4.0","4.0","3.5%"
"25","Atlanta Falcons (ATL)","0","0","1","1","0","0","0","1","3.0","3.0","16.6%"
"26","Philadelphia Eagles (PHI)","2","0","0","0","0","0","0","1","3.0","3.0","51.5%"
"27","Chicago Bears (CHI)","0","1","1","2","0","0","0","1","3.0","3.0","33.6%"
"28","Green Bay Packers (GB)","1","0","0","1","0","0","0","1","2.0","2.0","26.3%"
"29","Cleveland Browns (CLE)","1","0","1","1","0","0","0","1","2.0","2.0","94.2%"
"30","Tampa Bay Buccaneers (TB)","1","0","1","0","0","0","0","1","2.0","2.0","20.8%"
"31","Las Vegas Raiders (LV)","2","0","0","0","0","0","0","1","1.0","1.0","24.0%"
"32","Arizona Cardinals (ARI)","4","0","0","0","0","0","0","1","0.0","0.0","0.8%"
""
""
