"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","New England Patriots (NE)","9","1","0","0","1","0","0","1","26.0","26.0","13.5%"
"2","Detroit Lions (DET)","1","3","0","2","0","0","0","1","11.0","11.0","39.7%"
"3","Baltimore Ravens (BAL)","4","1","0","0","0","0","0","1","10.0","10.0","86.5%"
"4","New York Jets (NYJ)","5","2","0","2","0","0","0","1","10.0","10.0","82.5%"
"5","Arizona Cardinals (ARI)","2","1","0","0","1","0","0","1","9.0","9.0","0.8%"
"6","Miami Dolphins (MIA)","2","0","0","0","0","0","1","1","9.0","9.0","69.8%"
"7","Tampa Bay Buccaneers (TB)","4","0","0","0","0","0","0","1","8.0","8.0","20.8%"
"8","Seattle Seahawks (SEA)","5","0","1","1","0","0","0","1","8.0","8.0","22.9%"
"9","Philadelphia Eagles (PHI)","3","2","0","0","0","0","0","1","8.0","8.0","51.5%"
"10","Tennessee Titans (TEN)","4","1","0","0","0","0","0","1","7.0","7.0","3.5%"
"11","Los Angeles Chargers (LAC)","2","0","2","1","0","0","0","1","7.0","7.0","14.2%"
"12","Indianapolis Colts (IND)","4","0","1","2","0","0","0","1","7.0","7.0","26.1%"
"13","Cincinnati Bengals (CIN)","0","2","1","0","0","0","0","1","6.0","6.0","49.9%"
"14","Minnesota Vikings (MIN)","3","1","0","0","0","0","0","1","6.0","6.0","11.0%"
"15","Buffalo Bills (BUF)","2","0","1","1","0","0","0","1","5.0","5.0","62.0%"
"16","Washington Commanders (WAS)","2","1","0","0","0","0","0","1","5.0","5.0","8.1%"
"17","Atlanta Falcons (ATL)","0","1","1","1","0","0","0","1","5.0","5.0","16.6%"
"18","Jacksonville Jaguars (JAC)","2","0","1","1","0","0","0","1","5.0","5.0","49.9%"
"19","Houston Texans (HOU)","4","0","1","2","0","0","0","1","5.0","5.0","31.6%"
"20","Kansas City Chiefs (KC)","3","0","0","0","0","0","0","1","4.0","4.0","77.7%"
"21","Los Angeles Rams (LAR)","1","0","0","0","0","0","0","1","4.0","4.0","21.2%"
"22","Green Bay Packers (GB)","0","1","0","0","0","0","0","1","3.0","3.0","26.3%"
"23","New Orleans Saints (NO)","3","0","0","0","0","0","0","1","3.0","3.0","63.9%"
"24","Las Vegas Raiders (LV)","0","0","1","0","0","0","0","1","2.0","2.0","24.0%"
"25","Chicago Bears (CHI)","0","0","0","0","0","0","0","1","-1.0","-1.0","33.6%"
"26","Carolina Panthers (CAR)","2","0","0","0","0","0","0","1","-2.0","-2.0","3.0%"
""
""
