"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","New York Jets (NYJ)","4","0","1","1","0","0","1","1","20.0","20.0","82.5%"
"2","Seattle Seahawks (SEA)","6","1","1","3","0","0","0","1","17.0","17.0","22.9%"
"3","Arizona Cardinals (ARI)","5","0","1","1","1","0","0","1","14.0","14.0","0.8%"
"4","Atlanta Falcons (ATL)","0","2","1","1","1","0","0","1","13.0","13.0","16.6%"
"5","New England Patriots (NE)","4","2","2","2","0","0","0","1","13.0","13.0","13.5%"
"6","Minnesota Vikings (MIN)","6","2","1","1","0","0","0","1","13.0","13.0","11.0%"
"7","Washington Commanders (WAS)","5","1","1","1","0","0","0","1","13.0","13.0","8.1%"
"8","Los Angeles Rams (LAR)","2","1","0","0","0","0","0","1","11.0","11.0","21.2%"
"9","Carolina Panthers (CAR)","1","1","0","0","1","0","0","1","9.0","9.0","3.0%"
"10","Buffalo Bills (BUF)","3","2","0","0","0","0","0","1","8.0","8.0","62.0%"
"11","Los Angeles Chargers (LAC)","4","0","1","0","0","0","0","1","7.0","7.0","14.2%"
"12","Philadelphia Eagles (PHI)","0","3","0","0","0","0","0","1","7.0","7.0","51.5%"
"13","Chicago Bears (CHI)","3","0","0","1","0","0","0","1","7.0","7.0","33.6%"
"14","New York Giants (NYG)","2","1","1","1","0","0","0","1","7.0","7.0","2.4%"
"15","Baltimore Ravens (BAL)","4","0","1","1","0","0","0","1","6.0","6.0","86.5%"
"16","Indianapolis Colts (IND)","4","0","1","1","0","0","0","1","6.0","6.0","26.1%"
"17","Denver Broncos (DEN)","2","1","0","0","0","0","0","1","5.0","5.0","34.5%"
"18","New Orleans Saints (NO)","3","0","1","0","0","0","0","1","4.0","4.0","63.9%"
"19","Dallas Cowboys (DAL)","4","0","0","0","0","0","0","1","4.0","4.0","92.8%"
"20","Tampa Bay Buccaneers (TB)","2","0","0","0","0","0","0","1","3.0","3.0","20.8%"
"21","Pittsburgh Steelers (PIT)","2","0","0","1","0","0","0","1","3.0","3.0","76.1%"
"22","Miami Dolphins (MIA)","3","0","0","1","0","0","0","1","3.0","3.0","69.8%"
"23","Kansas City Chiefs (KC)","1","0","1","0","0","0","0","1","3.0","3.0","77.7%"
"24","Green Bay Packers (GB)","2","0","0","0","0","0","0","1","2.0","2.0","26.3%"
"25","Cincinnati Bengals (CIN)","1","0","0","0","0","0","0","1","1.0","1.0","49.9%"
"26","San Francisco 49ers (SF)","2","0","0","0","0","0","0","1","1.0","1.0","97.9%"
"27","Cleveland Browns (CLE)","2","0","1","1","0","0","0","1","0.0","0.0","94.2%"
"28","Jacksonville Jaguars (JAC)","0","0","0","1","0","0","0","1","-1.0","-1.0","49.9%"
""
""
