"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Los Angeles Rams (LAR)","6","4","0","0","1","0","0","1","21.0","21.0","21.2%"
"2","Los Angeles Chargers (LAC)","7","3","0","0","0","0","0","1","20.0","20.0","14.2%"
"3","Houston Texans (HOU)","4","2","1","2","0","0","0","1","17.0","17.0","31.6%"
"4","New England Patriots (NE)","2","2","1","1","1","0","0","1","14.0","14.0","13.5%"
"5","Jacksonville Jaguars (JAC)","3","1","1","2","0","0","0","1","14.0","14.0","49.9%"
"6","Pittsburgh Steelers (PIT)","3","3","0","0","0","0","0","1","13.0","13.0","76.1%"
"7","Green Bay Packers (GB)","2","3","1","2","0","0","0","1","11.0","11.0","26.3%"
"8","Philadelphia Eagles (PHI)","6","1","0","1","1","0","0","1","10.0","10.0","51.5%"
"9","Buffalo Bills (BUF)","2","1","1","1","0","0","0","1","10.0","10.0","62.0%"
"10","Cincinnati Bengals (CIN)","4","0","1","2","0","0","0","1","10.0","10.0","49.9%"
"11","Indianapolis Colts (IND)","4","1","1","1","0","0","0","1","9.0","9.0","26.1%"
"12","Minnesota Vikings (MIN)","3","1","1","2","0","0","0","1","9.0","9.0","11.0%"
"13","Tampa Bay Buccaneers (TB)","1","1","2","1","0","0","0","1","8.0","8.0","20.8%"
"14","Kansas City Chiefs (KC)","2","1","0","0","0","0","0","1","8.0","8.0","77.7%"
"15","Baltimore Ravens (BAL)","2","0","1","1","0","0","0","1","8.0","8.0","86.5%"
"16","New Orleans Saints (NO)","2","1","0","0","0","0","0","1","8.0","8.0","63.9%"
"17","Dallas Cowboys (DAL)","0","2","2","1","0","0","0","1","7.0","7.0","92.8%"
"18","San Francisco 49ers (SF)","2","1","1","1","0","0","0","1","7.0","7.0","97.9%"
"19","Tennessee Titans (TEN)","1","1","0","1","0","0","0","1","7.0","7.0","3.5%"
"20","Las Vegas Raiders (LV)","0","1","0","0","0","0","0","1","6.0","6.0","24.0%"
"21","Arizona Cardinals (ARI)","0","2","0","0","0","0","0","1","5.0","5.0","0.8%"
"22","Miami Dolphins (MIA)","2","1","0","0","0","0","0","1","4.0","4.0","69.8%"
"23","New York Jets (NYJ)","1","0","1","1","0","0","0","1","4.0","4.0","82.5%"
"24","New York Giants (NYG)","4","0","0","0","0","0","0","1","4.0","4.0","2.4%"
"25","Carolina Panthers (CAR)","2","0","1","0","0","0","0","1","4.0","4.0","3.0%"
"26","Atlanta Falcons (ATL)","0","0","0","1","0","0","0","1","3.0","3.0","16.6%"
"27","Cleveland Browns (CLE)","0","1","0","0","0","0","0","1","3.0","3.0","94.2%"
"28","Chicago Bears (CHI)","1","2","1","1","0","0","0","1","3.0","3.0","33.6%"
"29","Seattle Seahawks (SEA)","1","0","0","0","0","0","0","1","1.0","1.0","22.9%"
"30","Washington Commanders (WAS)","3","1","0","0","0","0","0","1","1.0","1.0","8.1%"
"31","Detroit Lions (DET)","0","0","0","0","0","0","0","1","-4.0","-4.0","39.7%"
"32","Denver Broncos (DEN)","0","0","0","0","0","0","0","1","-4.0","-4.0","34.5%"
""
""
