Rank,Name,Team,Position,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGamePPR,FantasyPointsPPR
1,Matt Gay,IND,K,3,BAL,5,5,100,54,1,1,24,24
2,Jason Sanders,MIA,K,16,DAL,5,5,100,57,1,1,22,22
3,Dustin Hopkins,CLE,K,7,IND,4,4,100,58,3,3,21,21
3,Brandon Aubrey,DAL,K,14,PHI,4,4,100,60,3,3,21,21
3,Harrison Butker,KC,K,17,CIN,6,6,100,54,1,1,21,21
6,Justin Tucker,BAL,K,6,TEN,6,6,100,41,0,1,18,18
6,Cameron Dicker,LAC,K,16,BUF,5,5,100,53,1,1,18,18
6,Younghoe Koo,ATL,K,9,MIN,4,4,100,54,2,2,18,18
6,Brandon Aubrey,DAL,K,2,NYJ,5,5,100,55,1,1,18,18
10,Matt Prater,ARI,K,10,ATL,4,4,100,56,1,1,17,17
10,Jason Myers,SEA,K,10,WAS,5,5,100,45,2,2,17,17
10,Blake Grupe,NO,K,12,ATL,5,6,83.3,52,0,0,17,17
10,Nick Folk,TEN,K,1,NO,5,5,100,50,0,0,17,17
10,Jake Elliott,PHI,K,1,NE,4,4,100,56,1,2,17,17
10,Harrison Butker,KC,K,6,DEN,4,4,100,60,1,1,17,17
10,Greg Zuerlein,NYJ,K,5,DEN,5,5,100,49,2,2,17,17
10,Wil Lutz,DEN,K,11,MIN,5,5,100,52,0,0,17,17
10,Younghoe Koo,ATL,K,16,IND,5,5,100,47,2,2,17,17
10,Jason Myers,SEA,K,3,CAR,5,5,100,43,2,2,17,17
10,Evan McPherson,CIN,K,3,LAR,4,5,80,54,1,1,17,17
10,Ka'imi Fairbairn,HOU,K,15,TEN,4,4,100,54,1,1,17,17
22,Cairo Santos,CHI,K,5,WAS,4,4,100,43,4,4,16,16
22,Jake Elliott,PHI,K,4,WAS,4,4,100,54,2,2,16,16
22,Brandon McManus,JAX,K,8,PIT,4,4,100,51,0,0,16,16
22,Riley Patterson,DET,K,8,LV,4,5,80,52,2,2,16,16
22,Greg Zuerlein,NYJ,K,14,HOU,3,3,100,55,3,3,16,16
22,Cairo Santos,CHI,K,11,DET,4,4,100,53,2,2,16,16
22,Tyler Bass,BUF,K,11,NYJ,4,4,100,50,2,3,16,16
22,Ka'imi Fairbairn,HOU,K,17,TEN,4,4,100,51,2,2,16,16
30,Wil Lutz,DEN,K,7,GB,4,4,100,52,1,1,15,15
30,Dustin Hopkins,CLE,K,6,SF,4,5,80,50,1,1,15,15
30,Brandon McManus,JAX,K,6,IND,3,3,100,51,4,4,15,15
30,Brett Maher,LAR,K,4,IND,3,5,60,54,2,2,15,15
30,Brandon Aubrey,DAL,K,13,SEA,4,4,100,38,3,3,15,15
30,Jake Elliott,PHI,K,16,NYG,4,4,100,44,3,3,15,15
30,Justin Tucker,BAL,K,16,SF,4,4,100,41,3,3,15,15
30,Chase McLaughlin,TB,K,9,HOU,3,3,100,55,4,4,15,15
30,Tyler Bass,BUF,K,3,WAS,3,3,100,54,4,4,15,15
39,Greg Zuerlein,NYJ,K,10,LV,4,4,100,53,0,0,14,14
39,Cairo Santos,CHI,K,12,MIN,4,5,80,55,0,0,14,14
39,Brett Maher,LAR,K,1,SEA,3,5,60,54,3,3,14,14
39,Brett Maher,LAR,K,6,ARI,4,4,100,43,2,2,14,14
39,Blake Grupe,NO,K,5,NE,2,2,100,54,4,4,14,14
39,Tyler Bass,BUF,K,4,MIA,2,2,100,53,6,6,14,14
39,Cameron Dicker,LAC,K,8,CHI,3,3,100,53,3,3,14,14
39,Jason Myers,SEA,K,11,LAR,3,4,75,54,1,1,14,14
39,Greg Zuerlein,NYJ,K,16,WAS,3,3,100,54,3,3,14,14
39,Chase McLaughlin,TB,K,16,JAX,3,3,100,51,3,3,14,14
39,Jake Moody,SF,K,2,LAR,3,3,100,57,3,3,14,14
39,Brandon McManus,JAX,K,17,CAR,4,4,100,35,2,2,14,14
51,Dustin Hopkins,CLE,K,10,BAL,4,4,100,40,1,2,13,13
51,Daniel Carlson,LV,K,6,NE,4,4,100,37,1,1,13,13
51,Ka'imi Fairbairn,HOU,K,5,ATL,4,4,100,43,1,1,13,13
51,Brandon McManus,JAX,K,4,ATL,3,3,100,56,2,2,13,13
51,Brandon Aubrey,DAL,K,8,LAR,2,2,100,58,5,5,13,13
51,Lucas Havrisik,LAR,K,14,BAL,3,3,100,51,2,2,13,13
51,Matt Gay,IND,K,13,TEN,4,4,100,46,1,1,13,13
51,Justin Tucker,BAL,K,9,SEA,3,3,100,45,4,4,13,13
51,Younghoe Koo,ATL,K,2,GB,4,4,100,39,1,2,13,13
51,Eddy Piñeiro,CAR,K,2,NO,3,3,100,54,0,0,13,13
51,Cairo Santos,CHI,K,17,ATL,3,4,75,42,4,4,13,13
51,Cameron Dicker,LAC,K,17,DEN,3,4,75,52,0,0,13,13
51,Ka'imi Fairbairn,HOU,K,3,JAX,3,3,100,33,4,4,13,13
51,Chris Boswell,PIT,K,3,LV,3,3,100,57,2,2,13,13
51,Matt Prater,ARI,K,15,SF,3,3,100,58,2,2,13,13
66,Cairo Santos,CHI,K,10,CAR,3,3,100,54,1,1,12,12
66,Matt Ammendola,HOU,K,10,CIN,3,3,100,45,3,3,12,12
66,Daniel Carlson,LV,K,10,NYJ,3,3,100,54,1,1,12,12
66,Wil Lutz,DEN,K,10,BUF,4,4,100,49,0,1,12,12
66,Jason Sanders,MIA,K,12,NYJ,2,2,100,54,4,4,12,12
66,Brandon McManus,JAX,K,12,HOU,3,4,75,53,1,1,12,12
66,Younghoe Koo,ATL,K,7,TB,3,3,100,51,1,1,12,12
66,Greg Joseph,MIN,K,7,SF,3,4,75,54,1,2,12,12
66,Matt Prater,ARI,K,1,WAS,3,3,100,54,1,1,12,12
66,Jake Moody,SF,K,1,PIT,3,3,100,41,3,3,12,12
66,Blake Grupe,NO,K,1,TEN,3,3,100,52,1,1,12,12
66,Jason Sanders,MIA,K,1,LAC,3,3,100,45,3,4,12,12
66,Cameron Dicker,LAC,K,1,MIA,2,2,100,50,4,4,12,12
66,Tyler Bass,BUF,K,1,NYJ,3,3,100,50,1,1,12,12
66,Blake Grupe,NO,K,18,ATL,2,2,100,24,6,6,12,12
66,Cameron Dicker,LAC,K,18,KC,4,4,100,49,0,0,12,12
66,Greg Zuerlein,NYJ,K,6,PHI,4,4,100,43,0,0,12,12
66,Graham Gano,NYG,K,5,MIA,3,4,75,51,1,1,12,12
66,Nick Folk,TEN,K,5,IND,3,3,100,53,1,1,12,12
66,Ka'imi Fairbairn,HOU,K,4,PIT,3,3,100,39,3,3,12,12
66,Brandon Aubrey,DAL,K,4,NE,3,3,100,33,3,3,12,12
66,Evan McPherson,CIN,K,13,JAX,2,3,66.7,54,4,4,12,12
66,Lucas Havrisik,LAR,K,16,NO,3,4,75,32,3,3,12,12
66,Chris Boswell,PIT,K,16,CIN,2,2,100,50,4,4,12,12
66,Daniel Carlson,LV,K,9,NYG,3,3,100,46,3,3,12,12
66,Jake Elliott,PHI,K,2,MIN,2,3,66.7,61,4,4,12,12
66,Chris Boswell,PIT,K,2,CLE,2,2,100,52,2,2,12,12
66,Chris Boswell,PIT,K,17,SEA,3,3,100,39,3,3,12,12
66,Jake Moody,SF,K,3,NYG,3,3,100,36,3,3,12,12
