"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","San Francisco 49ers (SF)","5","2","2","2","0","0","0","1","20.0","20.0","97.9%"
"2","Indianapolis Colts (IND)","5","2","0","1","0","0","0","1","16.0","16.0","26.1%"
"3","Cleveland Browns (CLE)","3","2","0","0","1","0","0","1","15.0","15.0","94.2%"
"4","Baltimore Ravens (BAL)","4","1","1","1","1","0","0","1","14.0","14.0","86.5%"
"5","Tampa Bay Buccaneers (TB)","4","1","0","0","0","0","0","1","13.0","13.0","20.8%"
"6","Pittsburgh Steelers (PIT)","1","2","0","0","0","0","0","1","8.0","8.0","76.1%"
"7","Las Vegas Raiders (LV)","2","1","0","1","0","0","0","1","8.0","8.0","24.0%"
"8","New York Jets (NYJ)","3","1","1","2","0","0","0","1","8.0","8.0","82.5%"
"9","Minnesota Vikings (MIN)","3","2","0","1","0","0","0","1","8.0","8.0","11.0%"
"10","Houston Texans (HOU)","4","2","0","1","0","0","0","1","8.0","8.0","31.6%"
"11","Denver Broncos (DEN)","0","2","2","2","0","0","0","1","8.0","8.0","34.5%"
"12","Dallas Cowboys (DAL)","5","1","0","0","0","0","0","1","8.0","8.0","92.8%"
"13","Chicago Bears (CHI)","3","0","0","0","0","0","0","1","7.0","7.0","33.6%"
"14","Carolina Panthers (CAR)","0","0","0","0","0","0","1","1","7.0","7.0","3.0%"
"15","Tennessee Titans (TEN)","3","1","0","0","0","0","0","1","6.0","6.0","3.5%"
"16","Cincinnati Bengals (CIN)","1","1","2","1","0","0","0","1","6.0","6.0","49.9%"
"17","New England Patriots (NE)","0","1","0","0","0","0","0","1","6.0","6.0","13.5%"
"18","Buffalo Bills (BUF)","4","0","1","1","0","0","0","1","6.0","6.0","62.0%"
"19","Seattle Seahawks (SEA)","3","0","1","1","0","0","0","1","5.0","5.0","22.9%"
"20","Atlanta Falcons (ATL)","2","1","0","0","0","0","0","1","4.0","4.0","16.6%"
"21","Arizona Cardinals (ARI)","3","0","0","0","0","0","0","1","3.0","3.0","0.8%"
"22","Green Bay Packers (GB)","1","0","0","0","0","0","0","1","1.0","1.0","26.3%"
"23","Jacksonville Jaguars (JAC)","2","0","0","0","0","0","0","1","1.0","1.0","49.9%"
"24","New Orleans Saints (NO)","1","0","0","0","0","0","0","1","1.0","1.0","63.9%"
"25","Los Angeles Rams (LAR)","0","0","0","0","0","0","0","0","0","0","21.2%"
"26","Miami Dolphins (MIA)","0","0","0","0","0","0","0","0","0","0","69.8%"
"27","Philadelphia Eagles (PHI)","0","0","0","0","0","0","0","0","0","0","51.5%"
"28","New York Giants (NYG)","0","2","0","0","0","0","0","1","0.0","0.0","2.4%"
"29","Kansas City Chiefs (KC)","0","0","0","0","0","0","0","0","0","0","77.7%"
"30","Washington Commanders (WAS)","1","0","0","0","0","0","0","1","0.0","0.0","8.1%"
"31","Detroit Lions (DET)","0","1","0","0","0","0","0","1","-2.0","-2.0","39.7%"
"32","Los Angeles Chargers (LAC)","0","0","0","0","0","0","0","1","-4.0","-4.0","14.2%"
""
""
