"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Pittsburgh Steelers (PIT)","6","1","3","3","2","0","0","1","26.0","26.0","76.1%"
"2","Tampa Bay Buccaneers (TB)","6","2","0","1","1","0","0","1","17.0","17.0","20.8%"
"3","Dallas Cowboys (DAL)","3","3","1","1","0","0","0","1","15.0","15.0","92.8%"
"4","Seattle Seahawks (SEA)","2","1","2","2","1","0","0","1","13.0","13.0","22.9%"
"5","Washington Commanders (WAS)","7","1","1","1","0","0","0","1","10.0","10.0","8.1%"
"6","Buffalo Bills (BUF)","0","2","1","1","0","0","0","1","10.0","10.0","62.0%"
"7","Kansas City Chiefs (KC)","4","0","1","1","0","0","0","1","10.0","10.0","77.7%"
"8","Indianapolis Colts (IND)","6","0","1","1","0","0","0","1","9.0","9.0","26.1%"
"9","Miami Dolphins (MIA)","4","1","1","1","0","0","0","1","9.0","9.0","69.8%"
"10","Jacksonville Jaguars (JAC)","1","1","2","2","0","0","0","1","8.0","8.0","49.9%"
"11","Carolina Panthers (CAR)","4","1","0","0","0","0","0","1","7.0","7.0","3.0%"
"12","Philadelphia Eagles (PHI)","2","0","3","3","0","0","0","1","7.0","7.0","51.5%"
"13","Cleveland Browns (CLE)","2","1","1","1","0","0","0","1","7.0","7.0","94.2%"
"14","New Orleans Saints (NO)","4","0","1","1","0","0","0","1","7.0","7.0","63.9%"
"15","Cincinnati Bengals (CIN)","0","0","0","0","0","0","1","1","6.0","6.0","49.9%"
"16","Los Angeles Chargers (LAC)","5","0","0","0","0","0","0","1","5.0","5.0","14.2%"
"17","San Francisco 49ers (SF)","1","2","0","0","0","0","0","1","5.0","5.0","97.9%"
"18","Minnesota Vikings (MIN)","4","1","0","0","0","0","0","1","5.0","5.0","11.0%"
"19","New England Patriots (NE)","1","1","0","0","0","0","0","1","5.0","5.0","13.5%"
"20","Arizona Cardinals (ARI)","3","1","0","0","0","0","0","1","4.0","4.0","0.8%"
"21","Baltimore Ravens (BAL)","1","1","0","0","0","0","0","1","3.0","3.0","86.5%"
"22","Tennessee Titans (TEN)","3","0","0","0","0","0","0","1","3.0","3.0","3.5%"
"23","Green Bay Packers (GB)","1","1","0","0","0","0","0","1","3.0","3.0","26.3%"
"24","Chicago Bears (CHI)","0","0","0","1","0","0","0","1","2.0","2.0","33.6%"
"25","Atlanta Falcons (ATL)","1","0","0","0","0","0","0","1","1.0","1.0","16.6%"
"26","Los Angeles Rams (LAR)","1","0","0","1","0","0","0","1","0.0","0.0","21.2%"
"27","Denver Broncos (DEN)","4","0","0","1","0","0","0","1","0.0","0.0","34.5%"
"28","Detroit Lions (DET)","1","0","0","0","0","0","0","1","0.0","0.0","39.7%"
"29","New York Jets (NYJ)","1","0","0","1","0","0","0","1","0.0","0.0","82.5%"
"30","Houston Texans (HOU)","0","0","0","1","0","0","0","1","-1.0","-1.0","31.6%"
"31","New York Giants (NYG)","0","0","0","0","0","0","0","1","-1.0","-1.0","2.4%"
"32","Las Vegas Raiders (LV)","2","0","0","0","0","0","0","1","-2.0","-2.0","24.0%"
""
""
