"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Las Vegas Raiders (LV)","4","1","1","1","2","0","0","1","21.0","21.0","24.0%"
"2","Tampa Bay Buccaneers (TB)","4","2","2","2","0","0","0","1","16.0","16.0","20.8%"
"3","Baltimore Ravens (BAL)","4","5","0","0","0","0","0","1","15.0","15.0","86.5%"
"4","New England Patriots (NE)","5","0","2","3","1","0","0","1","15.0","15.0","13.5%"
"5","Pittsburgh Steelers (PIT)","3","3","0","1","0","0","0","1","13.0","13.0","76.1%"
"6","Atlanta Falcons (ATL)","6","1","0","1","0","0","0","1","12.0","12.0","16.6%"
"7","Detroit Lions (DET)","4","4","0","2","0","0","0","1","12.0","12.0","39.7%"
"8","New York Giants (NYG)","1","1","1","1","1","0","0","1","10.0","10.0","2.4%"
"9","New York Jets (NYJ)","1","2","1","0","0","0","0","1","8.0","8.0","82.5%"
"10","Los Angeles Chargers (LAC)","1","1","2","2","0","0","0","1","7.0","7.0","14.2%"
"11","Houston Texans (HOU)","1","2","0","0","0","0","1","1","7.0","7.0","31.6%"
"12","Miami Dolphins (MIA)","4","0","1","0","0","0","0","1","7.0","7.0","69.8%"
"13","Cleveland Browns (CLE)","3","2","0","1","0","0","0","1","7.0","7.0","94.2%"
"14","Seattle Seahawks (SEA)","6","0","0","1","0","0","0","1","7.0","7.0","22.9%"
"15","Kansas City Chiefs (KC)","2","0","0","0","0","0","0","1","6.0","6.0","77.7%"
"16","Denver Broncos (DEN)","2","0","1","1","0","0","0","1","5.0","5.0","34.5%"
"17","Buffalo Bills (BUF)","5","0","0","0","0","0","0","1","5.0","5.0","62.0%"
"18","Los Angeles Rams (LAR)","2","1","0","0","0","0","0","1","4.0","4.0","21.2%"
"19","Minnesota Vikings (MIN)","1","0","1","2","0","0","0","1","4.0","4.0","11.0%"
"20","Tennessee Titans (TEN)","3","0","0","1","0","0","0","1","4.0","4.0","3.5%"
"21","Philadelphia Eagles (PHI)","1","1","0","0","0","0","0","1","4.0","4.0","51.5%"
"22","San Francisco 49ers (SF)","2","0","0","0","0","1","0","1","3.0","3.0","97.9%"
"23","Arizona Cardinals (ARI)","1","1","0","0","0","0","0","1","3.0","3.0","0.8%"
"24","Washington Commanders (WAS)","0","1","1","0","0","0","0","1","3.0","3.0","8.1%"
"25","Chicago Bears (CHI)","2","0","0","0","0","0","0","1","3.0","3.0","33.6%"
"26","Jacksonville Jaguars (JAC)","2","0","0","0","0","0","0","1","1.0","1.0","49.9%"
"27","Green Bay Packers (GB)","2","0","0","1","0","0","0","1","1.0","1.0","26.3%"
"28","Dallas Cowboys (DAL)","1","0","0","0","0","0","0","1","1.0","1.0","92.8%"
"29","New Orleans Saints (NO)","1","0","0","0","0","0","0","1","0.0","0.0","63.9%"
"30","Indianapolis Colts (IND)","1","0","0","0","0","0","0","1","0.0","0.0","26.1%"
"31","Cincinnati Bengals (CIN)","1","0","0","1","0","0","0","1","0.0","0.0","49.9%"
"32","Carolina Panthers (CAR)","1","0","0","1","0","0","0","1","0.0","0.0","3.0%"
""
""
