"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Los Angeles Chargers (LAC)","5","0","1","2","0","0","0","1","17.0","17.0","14.2%"
"2","Indianapolis Colts (IND)","6","0","2","3","0","0","1","1","17.0","17.0","26.1%"
"3","Atlanta Falcons (ATL)","4","1","2","4","0","0","0","1","14.0","14.0","16.6%"
"4","Miami Dolphins (MIA)","3","1","0","1","1","0","0","1","12.0","12.0","69.8%"
"5","Houston Texans (HOU)","3","3","0","0","0","0","0","1","10.0","10.0","31.6%"
"6","Tennessee Titans (TEN)","3","0","2","1","0","0","0","1","9.0","9.0","3.5%"
"7","New York Jets (NYJ)","3","0","0","1","0","1","0","1","9.0","9.0","82.5%"
"8","Tampa Bay Buccaneers (TB)","4","1","0","1","0","0","0","1","7.0","7.0","20.8%"
"9","Los Angeles Rams (LAR)","2","1","0","0","0","1","0","1","7.0","7.0","21.2%"
"10","New England Patriots (NE)","0","0","0","0","0","0","0","1","7.0","7.0","13.5%"
"11","Arizona Cardinals (ARI)","0","0","1","0","0","0","0","1","6.0","6.0","0.8%"
"12","Green Bay Packers (GB)","3","1","0","0","0","0","0","1","6.0","6.0","26.3%"
"13","Detroit Lions (DET)","2","1","1","0","0","0","0","1","5.0","5.0","39.7%"
"14","Denver Broncos (DEN)","5","0","0","1","0","0","0","1","5.0","5.0","34.5%"
"15","San Francisco 49ers (SF)","3","0","0","0","0","0","0","1","4.0","4.0","97.9%"
"16","Carolina Panthers (CAR)","1","1","0","0","0","0","0","1","3.0","3.0","3.0%"
"17","Cincinnati Bengals (CIN)","4","0","0","1","0","0","0","1","3.0","3.0","49.9%"
"18","Jacksonville Jaguars (JAC)","2","1","0","0","0","0","0","1","3.0","3.0","49.9%"
"19","Kansas City Chiefs (KC)","2","0","0","0","0","0","0","1","2.0","2.0","77.7%"
"20","Pittsburgh Steelers (PIT)","2","0","0","1","0","0","0","1","2.0","2.0","76.1%"
"21","Minnesota Vikings (MIN)","0","0","0","0","0","0","0","0","0","0","11.0%"
"22","New Orleans Saints (NO)","1","0","0","0","0","0","0","1","0.0","0.0","63.9%"
"23","New York Giants (NYG)","0","0","0","0","0","0","0","0","0","0","2.4%"
"24","Las Vegas Raiders (LV)","0","0","0","0","0","0","0","0","0","0","24.0%"
"25","Chicago Bears (CHI)","0","0","0","0","0","0","0","0","0","0","33.6%"
"26","Seattle Seahawks (SEA)","4","0","0","0","0","0","0","1","0.0","0.0","22.9%"
"27","Buffalo Bills (BUF)","0","0","0","0","0","0","0","0","0","0","62.0%"
"28","Baltimore Ravens (BAL)","0","0","0","0","0","0","0","0","0","0","86.5%"
"29","Dallas Cowboys (DAL)","1","1","0","0","0","0","0","1","-1.0","-1.0","92.8%"
"30","Philadelphia Eagles (PHI)","2","0","0","0","0","0","0","1","-2.0","-2.0","51.5%"
"31","Cleveland Browns (CLE)","0","0","0","0","0","0","0","1","-4.0","-4.0","94.2%"
"32","Washington Commanders (WAS)","0","0","0","0","0","0","0","1","-4.0","-4.0","8.1%"
""
""
