"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Minnesota Vikings (MIN)","5","2","1","2","1","0","0","1","21.0","21.0","11.0%"
"2","Kansas City Chiefs (KC)","4","2","1","1","0","0","0","1","14.0","14.0","77.7%"
"3","Cincinnati Bengals (CIN)","4","2","0","0","0","0","0","1","12.0","12.0","49.9%"
"4","Jacksonville Jaguars (JAC)","3","3","1","1","0","0","0","1","12.0","12.0","49.9%"
"5","Baltimore Ravens (BAL)","6","1","1","0","0","0","0","1","11.0","11.0","86.5%"
"6","New York Jets (NYJ)","2","3","1","1","0","0","0","1","11.0","11.0","82.5%"
"7","Washington Commanders (WAS)","3","3","0","0","0","0","0","1","10.0","10.0","8.1%"
"8","Houston Texans (HOU)","2","1","1","0","0","0","0","1","10.0","10.0","31.6%"
"9","Chicago Bears (CHI)","2","0","1","2","0","0","0","1","10.0","10.0","33.6%"
"10","Los Angeles Rams (LAR)","2","1","1","1","0","0","0","1","10.0","10.0","21.2%"
"11","Detroit Lions (DET)","1","1","0","0","0","0","0","1","10.0","10.0","39.7%"
"12","Las Vegas Raiders (LV)","4","1","0","0","0","1","0","1","9.0","9.0","24.0%"
"13","Los Angeles Chargers (LAC)","5","0","1","0","0","0","0","1","8.0","8.0","14.2%"
"14","Buffalo Bills (BUF)","3","0","0","0","0","0","0","1","7.0","7.0","62.0%"
"15","San Francisco 49ers (SF)","2","2","0","1","0","0","0","1","7.0","7.0","97.9%"
"16","Seattle Seahawks (SEA)","3","1","0","0","0","0","0","1","6.0","6.0","22.9%"
"17","Cleveland Browns (CLE)","3","1","0","0","0","0","0","1","6.0","6.0","94.2%"
"18","Philadelphia Eagles (PHI)","5","0","0","0","0","0","0","1","6.0","6.0","51.5%"
"19","Tennessee Titans (TEN)","1","1","0","0","0","0","0","1","5.0","5.0","3.5%"
"20","Arizona Cardinals (ARI)","3","0","1","0","0","0","0","1","5.0","5.0","0.8%"
"21","New York Giants (NYG)","0","1","1","1","0","0","0","1","5.0","5.0","2.4%"
"22","New Orleans Saints (NO)","2","1","0","0","0","0","0","1","5.0","5.0","63.9%"
"23","Atlanta Falcons (ATL)","5","0","0","0","0","0","0","1","5.0","5.0","16.6%"
"24","Denver Broncos (DEN)","2","1","0","0","0","0","0","1","5.0","5.0","34.5%"
"25","Miami Dolphins (MIA)","4","0","0","1","0","0","0","1","5.0","5.0","69.8%"
"26","Dallas Cowboys (DAL)","1","1","0","0","0","0","0","1","4.0","4.0","92.8%"
"27","Tampa Bay Buccaneers (TB)","3","0","0","1","0","0","0","1","4.0","4.0","20.8%"
"28","Carolina Panthers (CAR)","0","1","0","0","1","0","0","1","4.0","4.0","3.0%"
"29","New England Patriots (NE)","0","1","0","0","0","0","0","1","2.0","2.0","13.5%"
"30","Indianapolis Colts (IND)","3","1","0","0","0","0","0","1","1.0","1.0","26.1%"
"31","Pittsburgh Steelers (PIT)","0","0","0","0","0","0","0","0","0","0","76.1%"
"32","Green Bay Packers (GB)","0","0","0","0","0","0","0","0","0","0","26.3%"
""
""
