"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Dallas Cowboys (DAL)","7","2","1","3","1","0","1","1","37.0","37.0","92.8%"
"2","New York Jets (NYJ)","5","3","1","1","0","0","1","1","20.0","20.0","82.5%"
"3","Arizona Cardinals (ARI)","6","1","2","2","1","0","0","1","19.0","19.0","0.8%"
"4","Green Bay Packers (GB)","4","1","1","1","1","0","0","1","15.0","15.0","26.3%"
"5","San Francisco 49ers (SF)","5","2","0","0","0","0","0","1","13.0","13.0","97.9%"
"6","Philadelphia Eagles (PHI)","2","1","1","1","1","0","0","1","13.0","13.0","51.5%"
"7","Atlanta Falcons (ATL)","2","2","1","1","0","0","0","1","12.0","12.0","16.6%"
"8","Jacksonville Jaguars (JAC)","4","1","2","2","0","0","0","1","11.0","11.0","49.9%"
"9","Indianapolis Colts (IND)","2","1","1","3","1","0","0","1","11.0","11.0","26.1%"
"10","Washington Commanders (WAS)","3","0","2","2","0","0","0","1","11.0","11.0","8.1%"
"11","Baltimore Ravens (BAL)","5","0","1","1","0","0","0","1","11.0","11.0","86.5%"
"12","New Orleans Saints (NO)","3","3","0","0","0","0","0","1","10.0","10.0","63.9%"
"13","Detroit Lions (DET)","0","1","0","0","1","0","0","1","9.0","9.0","39.7%"
"14","Cleveland Browns (CLE)","2","0","0","0","0","0","0","1","9.0","9.0","94.2%"
"15","Tennessee Titans (TEN)","4","1","1","1","0","0","0","1","9.0","9.0","3.5%"
"16","Tampa Bay Buccaneers (TB)","2","1","2","1","0","0","0","1","9.0","9.0","20.8%"
"17","Houston Texans (HOU)","4","1","1","1","0","0","0","1","8.0","8.0","31.6%"
"18","Cincinnati Bengals (CIN)","3","1","1","1","0","0","0","1","7.0","7.0","49.9%"
"19","Los Angeles Rams (LAR)","2","0","0","0","0","0","0","1","6.0","6.0","21.2%"
"20","New England Patriots (NE)","3","0","1","1","0","0","0","1","6.0","6.0","13.5%"
"21","Buffalo Bills (BUF)","3","1","0","1","0","0","0","1","5.0","5.0","62.0%"
"22","Pittsburgh Steelers (PIT)","3","0","1","3","0","0","0","1","4.0","4.0","76.1%"
"23","Carolina Panthers (CAR)","4","0","0","1","0","0","0","1","4.0","4.0","3.0%"
"24","Kansas City Chiefs (KC)","1","0","1","1","0","0","0","1","4.0","4.0","77.7%"
"25","Las Vegas Raiders (LV)","2","0","0","0","0","0","0","1","3.0","3.0","24.0%"
"26","Denver Broncos (DEN)","0","1","0","0","0","0","0","1","3.0","3.0","34.5%"
"27","Minnesota Vikings (MIN)","1","0","0","0","0","0","0","1","2.0","2.0","11.0%"
"28","Miami Dolphins (MIA)","3","0","0","0","0","0","0","1","2.0","2.0","69.8%"
"29","Seattle Seahawks (SEA)","0","0","0","0","0","0","0","1","1.0","1.0","22.9%"
"30","Los Angeles Chargers (LAC)","0","1","1","0","0","0","0","1","0.0","0.0","14.2%"
"31","Chicago Bears (CHI)","1","0","0","0","0","0","0","1","0.0","0.0","33.6%"
"32","New York Giants (NYG)","0","0","0","1","0","0","0","1","-1.0","-1.0","2.4%"
""
""
