"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","New York Jets (NYJ)","7","2","0","0","0","0","0","1","18.0","18.0","82.5%"
"2","New York Giants (NYG)","5","2","2","2","0","0","0","1","17.0","17.0","2.4%"
"3","Tampa Bay Buccaneers (TB)","3","0","2","2","0","0","0","1","17.0","17.0","20.8%"
"4","Dallas Cowboys (DAL)","4","2","1","1","0","0","0","1","16.0","16.0","92.8%"
"5","Kansas City Chiefs (KC)","3","0","1","2","1","0","0","1","15.0","15.0","77.7%"
"6","Buffalo Bills (BUF)","1","2","0","0","0","0","1","1","12.0","12.0","62.0%"
"7","Pittsburgh Steelers (PIT)","4","0","2","2","0","0","0","1","12.0","12.0","76.1%"
"8","Detroit Lions (DET)","4","2","0","0","0","0","0","1","9.0","9.0","39.7%"
"9","Green Bay Packers (GB)","5","0","0","0","0","0","0","1","9.0","9.0","26.3%"
"10","Miami Dolphins (MIA)","3","2","1","1","0","0","0","1","9.0","9.0","69.8%"
"11","New Orleans Saints (NO)","1","2","1","0","0","0","0","1","8.0","8.0","63.9%"
"12","Cincinnati Bengals (CIN)","3","2","0","0","0","0","0","1","8.0","8.0","49.9%"
"13","Las Vegas Raiders (LV)","5","1","0","0","0","0","0","1","8.0","8.0","24.0%"
"14","Baltimore Ravens (BAL)","3","0","2","4","0","0","0","1","8.0","8.0","86.5%"
"15","Los Angeles Chargers (LAC)","1","1","0","0","0","0","0","1","7.0","7.0","14.2%"
"16","Carolina Panthers (CAR)","3","0","0","1","0","0","0","1","7.0","7.0","3.0%"
"17","Los Angeles Rams (LAR)","3","0","1","1","0","0","0","1","6.0","6.0","21.2%"
"18","Tennessee Titans (TEN)","0","2","0","0","0","0","0","1","5.0","5.0","3.5%"
"19","Philadelphia Eagles (PHI)","2","1","0","0","0","0","0","1","4.0","4.0","51.5%"
"20","San Francisco 49ers (SF)","2","1","0","0","0","0","0","1","4.0","4.0","97.9%"
"21","New England Patriots (NE)","1","0","1","0","0","0","0","1","4.0","4.0","13.5%"
"22","Indianapolis Colts (IND)","2","0","0","0","0","1","0","1","4.0","4.0","26.1%"
"23","Houston Texans (HOU)","1","0","1","0","0","0","0","1","4.0","4.0","31.6%"
"24","Cleveland Browns (CLE)","3","1","0","1","0","0","0","1","4.0","4.0","94.2%"
"25","Chicago Bears (CHI)","1","0","1","1","0","0","0","1","4.0","4.0","33.6%"
"26","Denver Broncos (DEN)","3","0","0","0","0","0","0","1","3.0","3.0","34.5%"
"27","Jacksonville Jaguars (JAC)","2","1","0","0","0","0","0","1","3.0","3.0","49.9%"
"28","Seattle Seahawks (SEA)","1","0","0","0","0","0","0","1","2.0","2.0","22.9%"
"29","Arizona Cardinals (ARI)","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"30","Minnesota Vikings (MIN)","1","0","0","0","0","0","0","1","0.0","0.0","11.0%"
"31","Washington Commanders (WAS)","0","1","0","0","0","0","0","1","0.0","0.0","8.1%"
"32","Atlanta Falcons (ATL)","3","0","0","2","0","0","0","1","-1.0","-1.0","16.6%"
""
""
